[09-07 16:32:23] gate driver started (pid 9711)
[09-07 16:32:34] gate driver started (pid 9718)
[09-07 16:32:34] gate driver started (pid 9719)
[09-07 16:32:45] gate driver started (pid 9725)
[09-07 16:32:45] gate driver started (pid 9724)
[09-07 16:32:56] gate driver started (pid 9731)
[09-07 16:32:56] gate driver started (pid 9730)
[09-07 16:33:07] gate driver started (pid 9737)
[09-07 16:33:07] gate driver started (pid 9738)
[09-07 16:33:18] gate driver started (pid 9758)
[09-07 16:33:18] gate driver started (pid 9757)
[09-07 16:33:29] gate driver started (pid 9768)
[09-07 16:33:29] gate driver started (pid 9769)
[09-07 16:33:40] gate driver started (pid 9776)
[09-07 16:33:40] gate driver started (pid 9775)
[09-07 16:33:52] gate driver started (pid 9783)
[09-07 16:33:52] gate driver started (pid 9782)
[09-07 16:34:03] gate driver started (pid 9788)
[09-07 16:34:03] gate driver started (pid 9789)
[09-07 16:34:16] gate driver started (pid 9809)
[09-07 16:34:16] gate driver started (pid 9810)
[09-07 16:34:28] gate driver started (pid 9819)
[09-07 16:34:28] gate driver started (pid 9820)
[09-07 16:34:39] gate driver started (pid 9825)
[09-07 16:34:39] gate driver started (pid 9826)
[09-07 16:34:50] gate driver started (pid 9832)
[09-07 16:34:50] gate driver started (pid 9831)
[09-07 16:35:01] gate driver started (pid 9838)
[09-07 16:35:01] gate driver started (pid 9839)
[09-07 16:35:12] gate driver started (pid 9845)
[09-07 16:35:12] gate driver started (pid 9844)
[09-07 16:35:24] gate driver started (pid 9852)
[09-07 16:35:24] gate driver started (pid 9851)
[09-07 16:35:35] gate driver started (pid 9857)
[09-07 16:35:35] gate driver started (pid 9858)
[09-07 16:35:46] gate driver started (pid 9864)
[09-07 16:35:46] gate driver started (pid 9865)
[09-07 16:35:57] gate driver started (pid 9870)
[09-07 16:35:57] gate driver started (pid 9871)
[09-07 16:36:09] gate driver started (pid 9880)
[09-07 16:36:09] gate driver started (pid 9881)
[09-07 16:36:20] gate driver started (pid 9888)
[09-07 16:36:20] gate driver started (pid 9887)
[09-07 16:36:31] gate driver started (pid 9899)
[09-07 16:36:31] gate driver started (pid 9900)
[09-07 16:36:42] gate driver started (pid 9907)
[09-07 16:36:42] gate driver started (pid 9908)
[09-07 16:36:54] gate driver started (pid 9924)
[09-07 16:36:54] gate driver started (pid 9926)
[09-07 16:37:05] gate driver started (pid 9951)
[09-07 16:37:05] gate driver started (pid 9952)
[09-07 16:37:16] gate driver started (pid 9968)
[09-07 16:37:16] gate driver started (pid 9967)
[09-07 16:37:27] gate driver started (pid 9979)
[09-07 16:37:27] gate driver started (pid 9980)
[09-07 16:37:38] gate driver started (pid 9993)
[09-07 16:37:38] gate driver started (pid 9992)
[09-07 16:37:48] gate driver started (pid 10000)
[09-07 16:37:48] gate driver started (pid 9999)
[09-07 16:37:59] gate driver started (pid 10006)
[09-07 16:37:59] gate driver started (pid 10007)
[09-07 16:38:10] gate driver started (pid 10018)
[09-07 16:38:10] gate driver started (pid 10017)
[09-07 16:38:20] gate driver started (pid 10028)
[09-07 16:38:20] gate driver started (pid 10027)
[09-07 16:38:31] gate driver started (pid 10037)
[09-07 16:38:31] gate driver started (pid 10038)
[09-07 16:38:42] gate driver started (pid 10064)
[09-07 16:38:42] gate driver started (pid 10063)
[09-07 16:38:53] gate driver started (pid 10071)
[09-07 16:38:53] gate driver started (pid 10072)
[09-07 16:39:03] gate driver started (pid 10084)
[09-07 16:39:03] gate driver started (pid 10085)
[09-07 16:39:14] gate driver started (pid 10093)
[09-07 16:39:14] gate driver started (pid 10094)
[09-07 16:39:25] gate driver started (pid 10114)
[09-07 16:39:25] gate driver started (pid 10113)
[09-07 16:39:36] gate driver started (pid 10137)
[09-07 16:39:36] gate driver started (pid 10138)
[09-07 16:39:48] gate driver started (pid 10149)
[09-07 16:39:48] gate driver started (pid 10148)
[09-07 16:39:59] gate driver started (pid 10157)
[09-07 16:39:59] gate driver started (pid 10158)
[09-07 16:40:10] gate driver started (pid 10168)
[09-07 16:40:10] gate driver started (pid 10169)
[09-07 16:40:21] gate driver started (pid 10175)
[09-07 16:40:21] gate driver started (pid 10176)
[09-07 16:40:32] gate driver started (pid 10193)
[09-07 16:40:32] gate driver started (pid 10192)
[09-07 16:40:44] gate driver started (pid 10205)
[09-07 16:40:44] gate driver started (pid 10206)
[09-07 16:40:55] gate driver started (pid 10218)
[09-07 16:40:55] gate driver started (pid 10219)
[09-07 16:41:05] gate driver started (pid 10224)
[09-07 16:41:05] gate driver started (pid 10225)
[09-07 16:41:16] gate driver started (pid 10231)
[09-07 16:41:16] gate driver started (pid 10232)
[09-07 16:41:27] gate driver started (pid 10238)
[09-07 16:41:27] gate driver started (pid 10239)
[09-07 16:41:38] gate driver started (pid 10254)
[09-07 16:41:38] gate driver started (pid 10255)
[09-07 16:41:48] gate driver started (pid 10260)
[09-07 16:41:48] gate driver started (pid 10261)
[09-07 16:41:59] gate driver started (pid 10267)
[09-07 16:41:59] gate driver started (pid 10266)
[09-07 16:42:10] gate driver started (pid 10274)
[09-07 16:42:10] gate driver started (pid 10273)
[09-07 16:42:20] gate driver started (pid 10291)
[09-07 16:42:20] gate driver started (pid 10290)
[09-07 16:42:32] gate driver started (pid 10297)
[09-07 16:42:32] gate driver started (pid 10298)
[09-07 16:42:43] gate driver started (pid 10303)
[09-07 16:42:43] gate driver started (pid 10304)
[09-07 16:42:54] gate driver started (pid 10319)
